[2026-06-16 15:47:28] Starting subprocess-based zero-downtime proof simulator with client failover retry...
[2026-06-16 15:47:28] Detected max keys for reads: 1000
[2026-06-16 15:47:28] Entering main simulation loop. Press Ctrl+C to stop.
[2026-06-16 15:47:34] Progress: Ops=200 | Reads=100 (Fails=0) | Writes=100 (Fails=0) | Success Rate=100.00% | Elapsed=5.9s
[2026-06-16 15:47:40] Progress: Ops=400 | Reads=200 (Fails=0) | Writes=200 (Fails=0) | Success Rate=100.00% | Elapsed=11.9s
[2026-06-16 15:47:46] Progress: Ops=600 | Reads=300 (Fails=0) | Writes=300 (Fails=0) | Success Rate=100.00% | Elapsed=17.8s
[2026-06-16 15:47:51] Progress: Ops=800 | Reads=400 (Fails=0) | Writes=400 (Fails=0) | Success Rate=100.00% | Elapsed=23.7s
[2026-06-16 15:47:57] Progress: Ops=1000 | Reads=500 (Fails=0) | Writes=500 (Fails=0) | Success Rate=100.00% | Elapsed=29.6s
[2026-06-16 15:48:03] Progress: Ops=1200 | Reads=600 (Fails=0) | Writes=600 (Fails=0) | Success Rate=100.00% | Elapsed=35.5s
[2026-06-16 15:48:09] Progress: Ops=1400 | Reads=700 (Fails=0) | Writes=700 (Fails=0) | Success Rate=100.00% | Elapsed=41.5s
[2026-06-16 15:48:15] Progress: Ops=1600 | Reads=800 (Fails=0) | Writes=800 (Fails=0) | Success Rate=100.00% | Elapsed=47.4s
[2026-06-16 15:48:21] Progress: Ops=1800 | Reads=900 (Fails=0) | Writes=900 (Fails=0) | Success Rate=100.00% | Elapsed=53.2s
[2026-06-16 15:48:27] Progress: Ops=2000 | Reads=1000 (Fails=0) | Writes=1000 (Fails=0) | Success Rate=100.00% | Elapsed=59.3s
[2026-06-16 15:48:33] Progress: Ops=2200 | Reads=1100 (Fails=0) | Writes=1100 (Fails=0) | Success Rate=100.00% | Elapsed=65.2s
[2026-06-16 15:48:40] Progress: Ops=2400 | Reads=1200 (Fails=0) | Writes=1200 (Fails=0) | Success Rate=100.00% | Elapsed=71.9s
[2026-06-16 15:48:46] Progress: Ops=2600 | Reads=1300 (Fails=0) | Writes=1300 (Fails=0) | Success Rate=100.00% | Elapsed=78.3s
[2026-06-16 15:48:52] Progress: Ops=2800 | Reads=1400 (Fails=0) | Writes=1400 (Fails=0) | Success Rate=100.00% | Elapsed=84.5s
[2026-06-16 15:48:59] Progress: Ops=3000 | Reads=1500 (Fails=0) | Writes=1500 (Fails=0) | Success Rate=100.00% | Elapsed=90.9s
[2026-06-16 15:49:05] Progress: Ops=3200 | Reads=1600 (Fails=0) | Writes=1600 (Fails=0) | Success Rate=100.00% | Elapsed=96.9s
[2026-06-16 15:49:11] Progress: Ops=3400 | Reads=1700 (Fails=0) | Writes=1700 (Fails=0) | Success Rate=100.00% | Elapsed=103.1s
[2026-06-16 15:49:17] Progress: Ops=3600 | Reads=1800 (Fails=0) | Writes=1800 (Fails=0) | Success Rate=100.00% | Elapsed=109.0s
[2026-06-16 15:49:23] Progress: Ops=3800 | Reads=1900 (Fails=0) | Writes=1900 (Fails=0) | Success Rate=100.00% | Elapsed=115.0s
[2026-06-16 15:49:29] Progress: Ops=4000 | Reads=2000 (Fails=0) | Writes=2000 (Fails=0) | Success Rate=100.00% | Elapsed=120.9s
[2026-06-16 15:49:34] Progress: Ops=4200 | Reads=2100 (Fails=0) | Writes=2100 (Fails=0) | Success Rate=100.00% | Elapsed=126.8s
[2026-06-16 15:49:40] Progress: Ops=4400 | Reads=2200 (Fails=0) | Writes=2200 (Fails=0) | Success Rate=100.00% | Elapsed=132.7s
[2026-06-16 15:49:46] Progress: Ops=4600 | Reads=2300 (Fails=0) | Writes=2300 (Fails=0) | Success Rate=100.00% | Elapsed=138.6s
[2026-06-16 15:49:52] Progress: Ops=4800 | Reads=2400 (Fails=0) | Writes=2400 (Fails=0) | Success Rate=100.00% | Elapsed=144.6s
[2026-06-16 15:49:58] Progress: Ops=5000 | Reads=2500 (Fails=0) | Writes=2500 (Fails=0) | Success Rate=100.00% | Elapsed=150.4s
[2026-06-16 15:50:04] Progress: Ops=5200 | Reads=2600 (Fails=0) | Writes=2600 (Fails=0) | Success Rate=100.00% | Elapsed=156.4s
[2026-06-16 15:50:10] Progress: Ops=5400 | Reads=2700 (Fails=0) | Writes=2700 (Fails=0) | Success Rate=100.00% | Elapsed=162.3s
[2026-06-16 15:50:16] Progress: Ops=5600 | Reads=2800 (Fails=0) | Writes=2800 (Fails=0) | Success Rate=100.00% | Elapsed=168.2s
[2026-06-16 15:50:22] Progress: Ops=5800 | Reads=2900 (Fails=0) | Writes=2900 (Fails=0) | Success Rate=100.00% | Elapsed=174.1s
[2026-06-16 15:50:28] Progress: Ops=6000 | Reads=3000 (Fails=0) | Writes=3000 (Fails=0) | Success Rate=100.00% | Elapsed=180.1s
[2026-06-16 15:50:34] Progress: Ops=6200 | Reads=3100 (Fails=0) | Writes=3100 (Fails=0) | Success Rate=100.00% | Elapsed=185.9s
